sentiment	productId	userId	summary	text	helpfulY	helpfulN
		A3OHYJVBE4XZPE	Versatile addition to kitchen favorites	I use this syrup in tea, coffee and over cut up fruit and ice cream.I buy unflavored creamer and add this to it. Much cheaper alternative to pre-flavored coffee creamer.	0	0
		AKALDNM2XMFB1	My Daily Brew	This coffee is phenomenal for the taste and value. I'm on subscribe and save and this is my daily brew, I typically go though 2 lbs a month or so. This coffee has an excellent flavor and is not bitter or spicy, beats Starbucks breakfast blend hands down.	0	0
		AB29IDVYAYDL	Wonderful coffee	Love this coffee, but cannot buy it through regular outlets, so am gouged by SASA Corner. Really sticks in my craw paying more than a buck a cup.	0	0
		A2EZW502SEA2N9	Newman's Own Organics Dog Food	I cannot express enough how pleased I am with this dog food. I feed my 11 year old German Shepard, and my two year old Pittie Girl this food every day, and the benefits are astounding.  For most of my Shepards life I fed her a well known, vet recommended food, and yet she always had stomach problems.  Trying many things, it was not until I rescued, and I should really say she rescued me, and the dog food recall, that I began doing research on brands of food.  After a long investigation, I decided on Newman's Own, not only because there had been no recall on the food, but because of the ingredients, and that the proceeds going to charity. Now, choosing this brand, would mean that I would have to order it online, because my local stores did not carry it, but that was all right with me, because not only do I enjoy online ordering, but I am an older, disabled woman, and getting to the store and hauling in packages is very hard for me.  Well, I want to tell you, My 11 year old thrives on this food, with no more digestive issues, and a beautiful white coat, and she loves eating it with vigor. My two year old American Pit Bull Terrier, another love of my life, also thrives on this food, has the most beautiful shiny coat ever, and people say all the time how beautiful her coat is.  I do spoil my fur kids, but their health and well being is my number one priority.  I have just recently switched over feeding my 4 cats Newman's Own cat food, both dry and canned food, and since then, I have noticed the difference in the elimination of hair balls.  I know that I am truly a pet lover, but I believe that if you love your pets and want only the best well being for them, unnecessary medical issues, and all around good health, a good balanced, safe, natural food is the way to go.  I highly recommend Newman's Own dog and cat food.  I also feed my two dogs Newman's Own biscuits as treats.	88	1
		A1N5QQGTAZBOD3	Great Coffee, Great Prices, and Great Service!	I have purchased green coffee beans from several local and internet providers often with poor results.  U-Roast-Em is the exception. I have never had bad service with this company and now purchase all of my coffee from them.  They provide an excellent selection of high quality beans at great prices.  They do a great job with packaging and shipping!  Most of my orders have shipped the same day I ordered.<br /><br />I have tried most of their coffees and have yet to be disappointed.  If you are looking for a good mid priced coffee I would recommend La Minita Tarrazu de Costa Rica.<br /><br />I highly recommend you check out U-Roast-Em for all your coffee needs!	3	1
		A2F36VSJ4TED0U	It's Baking Soda	Okay so I bought this product and then had to laugh upon further research discovering that ALL baking soda is aluminum free.  It's baking POWDER that has aluminum in it.  The cheapest baking soda you can find is still aluminum free.  It's still good baking soda though, and kudos to the Bob's Red Mill marketing department.  You guys are geniuses.	3	0
		A3BH63GKL7MQ2K	Really, just bubbles and vitamin C	"The product description says that it's ""just juice, bubbles and vitamin C."" Really, it's just the last two. It's not entirely flavorless, but I've tasted plenty of beverages that are much better than this one with a lot less carbonation.<br /><br />And, honestly, this ""healthy"" drink is rather easily replaced by a multivitamin pill. It's not really good for you, it's just not directly bad for you. Sincerely, I'm fairly sure that sucking on my couch cushions would garner you more nutrition than a Mountain Dew, so it's not like ""better than soda"" is really setting the bar high.<br /><br />Rather disappointing, particularly compared to the other Switch beverages."	0	0
		A5D06XJHDXK75	Baci's are pure heaven - great gift, stocking stuffer!	"My family has been in love with Baci's ever since we lived in Europe.  When my daughters were small they coined the term ""Baci Pill"" for whenever they were hurt or not feeling well.  They are a wonderful treat, after a meal with espresso or cappuccino.  Pop the entire Baci in your mouth and experience the famous Perugina chocolate and then the still crunchy hazelnut center.  The Italians do everything with class and this beats a Hershey's Kiss any day!"	1	0
		A35B701Z30TKJC	My cat tried to bury this food.	My cat and my neighbor's cats would not eat this food. I wound up giving the case to the cat rescue organization.	1	2
		AS0MJOXBZNO79	RIP OFF	"Initially I was so excited to find this gift basket - it ""seemed"" perfect for a reasonable price.  I received the product today and was terribly disappointed when seeing it.  Honestly  it looks like yunk that you MIGHT buy for $12 to $15 but CERTAINLY NOT $50!!  I will be sending this back ASAP and recommend that others do not waste their time and money on this cheap, tacky product."	3	0
